tweet;replies_count;retweets_count;likes_count
Pencetak goal final piala dunia tahun 1998 antara Prancis vs Brazil yakni Zinedine Zidane dengan 2 goal dan Emmanuel petit 1 goal. Skor berakhir 3 - 0 untuk kemenangan Prancis.  @indosat @idextratime  #PilDunBarengIOH Meluooo @agakretak @kinderboy_ @yannnnwoiiii;0;0;0
Kalian buang-buang waktu nonton final piala dunia? 😄;0;0;0
Yang gak bagikan moment final piala dunia disosmed, fix kalian aneh.;0;0;1
Atasan-atasan yang ngasih kelonggaran jam kerja ke karyawannya karena semalem final piala dunia adalah calon-calon ahli surga.;0;0;0
mantap.. bertahan dari awal piala dunia sampai final nggak nonton pertandingan sekalipun...;0;0;0
Menurut gue ini final piala dunia yg terseru bener bener gila bgt selama 120 menit sampe akhirnya adu penalty, gokil!!!;0;0;0
Wartawan Al Jazair Khadija Ben Qena dan presenter TV Al-Jazeera mengibarkan bendera Palestina selama pertandingan Argentina - Prancis di Final Piala Dunia Qatar (18/13/2022). 🇵🇸🇵🇸🇵🇸🇵🇸  https://t.co/o13W3RQMMI;0;0;1
Selama 56 tahun, Hurst sendirian menyandang predikat pemain yang mencetak tiga gol di final Piala Dunia saat Inggris menang 4-2 lewat perpanjangan waktu atas Jerman Barat pada 1966.   https://t.co/05pHnPQGGA;1;0;2
Pat bela-belain ke singapore buat nobar final piala dunia sama Pran, mereka berdua sama2 fans messi. Pas adu penalti Pat udah nangis aja di pukpuk sama Pran karena masih di cafe, balik ke kondo baru deh lebih dari pukpuk 😃    https://t.co/ssFCrVxB0W;0;0;1
Apa cuma gw yg ga nonton final piala dunia ??   #FIFAWorldCup;0;0;0
Berhasil Cetak 4 Gol di Final Piala Dunia Qatar 2022, Kylian Mbappe Gagal Bawa Prancis Juara  https://t.co/2sEFGjUaHe;0;0;0
yang paling wow dari final Piala Dunia adalah: ini orang2 cepet banget bikin poster photoshop Argentina juara edaaaaan.;7;19;83
Sek ta, piala dunia iki wes final to?😅;0;0;0
semalem ga ikut nonton final piala dunia, tp emng suda feeling Argentina yg menang. Vamos🇦🇷!  beres piala dunia lanjut piala AFF 😎;0;0;0
Ada orang minta ditemenin nonton final piala dunia, tapi susah banget pas dibangunin;0;0;0
Ga bisa di pungkiri, ini final paling berkesan selama piala dunia;0;0;0
Argentina vs Prancis Final Piala Dunia Terbaik, Messi dan Mbappe Gila, Hari Ini Pemenangnya Sepak Bola!  https://t.co/S2UHckNkps;1;5;33
7 Pelajaran Final Piala Dunia 2022 Argentina vs Prancis: Partai Puncak yang Luar Biasa, Messi Sah GOAT!  https://t.co/F80yGjgYj3;0;3;18
Pastikan Pelanggan Nikmati Final Piala Dunia 2022 dengan Nyaman, PLN Jamin Pasokan Listrik Cukup  https://t.co/I3KGzZMiFq #PialaDunia #PialaDunia #PialaDunia2022 #PialaDuniaTahun2022;0;2;0
Kaya ga punya harga diri banget ketiduran final piala dunia.;0;0;0
Persahabatan Kylian Mbappe-Lionel Messi dan Sepotong Momen di Final Piala Dunia 2022   #Sindonews #BukanBeritaBiasa . https://t.co/qTDJge9mE6;0;0;1
selama nonton final piala dunia tidak bisa tidak mikirin raul lemos pas liat mbappe;0;0;0
Ukraina Langsung Kecam FIFA Usai Tidak Boleh Pidato Sebelum Pertandingan Final Piala Dunia Qatar  https://t.co/MVvDaMEVRK;53;5;77
Kylian Mbappe Cetak Hattrick di Final, Samai Rekor Geoff Hurst dari Inggris pada Piala Dunia 1966  https://t.co/QivXLUnWez;0;3;0
Lionel Messi dan Para Pemain Terbaik Argentina pada Final Piala Dunia 2022 Kontra Prancis  https://t.co/AZxYqM8vs9  https://t.co/ndbo2MaaGO;0;0;0
Sebelum Final Piala Dunia, Macron dan Presiden Argentina Sempat Perang Cuitan  https://t.co/Bi0yUMp7Fk #EmmanuelMacron #AlbertoFernandez #PresidenPrancis;0;2;0
